font_author,font_download,font_image,font_main_category,font_name,font_sub_category
FontGrube AH,//dl.dafont.com/dl/?f=civitype_fg,https://www.dafont.com/img/preview/c/i/civitype_fg0.png,Gothic,Civitype FG,Various
Anthony Robinson,//dl.dafont.com/dl/?f=voodoo_vampire,https://www.dafont.com/img/preview/v/o/voodoo_vampire0.png,Gothic,Voodoo Vampire,Modern
weknow,//dl.dafont.com/dl/?f=thursday,https://www.dafont.com/img/preview/t/h/thursday0.png,Gothic,Thursday,Modern
zanatlija,//dl.dafont.com/dl/?f=initials_tfb,https://www.dafont.com/img/preview/i/n/initials_tfb0.png,Gothic,Initials TFB,Initials
Dismantle Destroy,//dl.dafont.com/dl/?f=quiet_the_thief,https://www.dafont.com/img/preview/q/u/quiet_the_thief9.png,Gothic,Quiet the Thief,Modern
Bruce Marx,//dl.dafont.com/dl/?f=black_adder2,https://www.dafont.com/img/preview/b/l/black_adder20.png,Gothic,Black Adder II,Modern
Bill Roach,//dl.dafont.com/dl/?f=elementary_gothic,https://www.dafont.com/img/preview/e/l/elementary_gothic0.png,Gothic,Elementary Gothic ,Various
Pixeluigi,//dl.dafont.com/dl/?f=zabdilus,https://www.dafont.com/img/preview/z/a/zabdilus0.png,Gothic,Zabdilus,Modern
Chris Vile,//dl.dafont.com/dl/?f=chaos_and_pain,https://www.dafont.com/img/preview/c/h/chaos_and_pain0.png,Gothic,Chaos and Pain,Modern
Pixel Sagas,//dl.dafont.com/dl/?f=vecna,https://www.dafont.com/img/preview/v/e/vecna3.png,Gothic,Vecna,Various
Laura Quantrill,//dl.dafont.com/dl/?f=arkwright,https://www.dafont.com/img/preview/a/r/arkwright0.png,Gothic,Arkwright,Modern
Sentinel Type,//dl.dafont.com/dl/?f=verzierte_schwabach,https://www.dafont.com/img/preview/v/e/verzierte_schwabach0.png,Gothic,Verzierte Schwabacher,Medieval
Argor,//dl.dafont.com/dl/?f=argor_flahm_scaqh,https://www.dafont.com/img/preview/a/r/argor_flahm_scaqh0.png,Gothic,Argor Flahm Scaqh,Medieval
Atrax,//dl.dafont.com/dl/?f=antraxja_goth_1938,https://www.dafont.com/img/preview/a/n/antraxja_goth_19380.png,Gothic,Antraxja Goth 1938,Medieval
HypoTypo,//dl.dafont.com/dl/?f=church_text_shaded,https://www.dafont.com/img/preview/c/h/church_text_shaded0.png,Gothic,Church Text 'Shaded',Medieval
Good Java Studio,//dl.dafont.com/dl/?f=valldemar,https://www.dafont.com/img/preview/v/a/valldemar1.png,Gothic,Valldemar,Medieval
Graptail Type Studio,//dl.dafont.com/dl/?f=jailetter,https://www.dafont.com/img/preview/j/a/jailetter0.png,Gothic,Jailetter,Modern
Chris Vile,//dl.dafont.com/dl/?f=reposed,https://www.dafont.com/img/preview/r/e/reposed0.png,Gothic,Reposed,Modern
Woodcutter,//dl.dafont.com/dl/?f=hell_kitchen,https://www.dafont.com/img/preview/h/e/hell_kitchen0.png,Gothic,Hell Kitchen,Various
Chafomon,//dl.dafont.com/dl/?f=william_morris_initials,https://www.dafont.com/img/preview/w/i/william_morris_initials0.png,Gothic,William Morris Initials,Initials
Chequered Ink,//dl.dafont.com/dl/?f=slumber_s_weight,https://www.dafont.com/img/preview/s/l/slumber_s_weight0.png,Gothic,Slumber's Weight,Modern
Shohail Bhuian,//dl.dafont.com/dl/?f=gresan,https://www.dafont.com/img/preview/g/r/gresan1.png,Gothic,Gresan,Modern
Hanoded,//dl.dafont.com/dl/?f=hyldemoer,https://www.dafont.com/img/preview/h/y/hyldemoer0.png,Gothic,Hyldemoer,Various
Jaycobs,//dl.dafont.com/dl/?f=drei_fraktur,https://www.dafont.com/img/preview/d/r/drei_fraktur0.png,Gothic,Drei Fraktur,Modern
Aspek hndz,//dl.dafont.com/dl/?f=black_magic,https://www.dafont.com/img/preview/b/l/black_magic0.png,Gothic,Black Magic,Modern
Iconian Fonts,//dl.dafont.com/dl/?f=indigo_demon,https://www.dafont.com/img/preview/i/n/indigo_demon16.png,Gothic,Indigo Demon,Modern
Quick Brown Fox Fonts,//dl.dafont.com/dl/?f=spiders_and_sparrows,https://www.dafont.com/img/preview/s/p/spiders_and_sparrows0.png,Gothic,Spiders and Sparrows,Various
Chequered Ink,//dl.dafont.com/dl/?f=grimeplex,https://www.dafont.com/img/preview/g/r/grimeplex0.png,Gothic,Grimeplex,Modern
Jose Tijerín,//dl.dafont.com/dl/?f=dark_elf,https://www.dafont.com/img/preview/d/a/dark_elf0.png,Gothic,Dark Elf,Various
Woodcutter,//dl.dafont.com/dl/?f=one_percent,https://www.dafont.com/img/preview/o/n/one_percent0.png,Gothic,One Percent,Various
weknow,//dl.dafont.com/dl/?f=metal_kingdom,https://www.dafont.com/img/preview/m/e/metal_kingdom0.png,Gothic,Metal Kingdom,Modern
Carles Garrigues Ubeda,//dl.dafont.com/dl/?f=evil_bible,https://www.dafont.com/img/preview/e/v/evil_bible0.png,Gothic,Evil Bible,Various
Richie Mx,//dl.dafont.com/dl/?f=fucking_hostile,https://www.dafont.com/img/preview/f/u/fucking_hostile0.png,Gothic,Fucking Hostile,Modern
Darrell Flood,//dl.dafont.com/dl/?f=dupstep_dungeons,https://www.dafont.com/img/preview/d/u/dupstep_dungeons0.png,Gothic,Dupstep Dungeons,Modern
Peter Wiegel,//dl.dafont.com/dl/?f=klaber_fraktur,https://www.dafont.com/img/preview/k/l/klaber_fraktur0.png,Gothic,Klaber Fraktur,Medieval
Xerographer Fonts,//dl.dafont.com/dl/?f=metalshred,https://www.dafont.com/img/preview/m/e/metalshred0.png,Gothic,Metal Shred,Various
Brenda Sosa,//dl.dafont.com/dl/?f=dark_metal,https://www.dafont.com/img/preview/d/a/dark_metal0.png,Gothic,Dark Metal,Modern
Alana Littman,//dl.dafont.com/dl/?f=native_dancer,https://www.dafont.com/img/preview/n/a/native_dancer0.png,Gothic,Native Dancer,Modern
pti,//dl.dafont.com/dl/?f=in_for_the_kill,https://www.dafont.com/img/preview/i/n/in_for_the_kill0.png,Gothic,In for The Kill,Modern
Bayley Design,//dl.dafont.com/dl/?f=axe,https://www.dafont.com/img/preview/a/x/axe0.png,Gothic,Axe,Modern
Evan Clarkson,//dl.dafont.com/dl/?f=cryptik,https://www.dafont.com/img/preview/c/r/cryptik0.png,Gothic,Cryptik,Various
Iconian Fonts,//dl.dafont.com/dl/?f=opus_magnus,https://www.dafont.com/img/preview/o/p/opus_magnus1.png,Gothic,Opus Magnus,Modern
Iconian Fonts,//dl.dafont.com/dl/?f=eternal_knight,https://www.dafont.com/img/preview/e/t/eternal_knight12.png,Gothic,Eternal Knight,Modern
Tiny Factory,//dl.dafont.com/dl/?f=eltic,https://www.dafont.com/img/preview/e/l/eltic0.png,Gothic,Eltic,Celtic
Manfred Klein,//dl.dafont.com/dl/?f=weiss_gotnitials,https://www.dafont.com/img/preview/w/e/weiss_gotnitials0.png,Gothic,Weiss Gotnitials,Initials
Aaron Banogon,//dl.dafont.com/dl/?f=cliff_edge,https://www.dafont.com/img/preview/c/l/cliff_edge0.png,Gothic,Cliff Edge,Modern
Mr.fisk Fonts,//dl.dafont.com/dl/?f=broken_planewing,https://www.dafont.com/img/preview/b/r/broken_planewing0.png,Gothic,Broken Planewing,Medieval
Manuel Ramos,//dl.dafont.com/dl/?f=sistematica,https://www.dafont.com/img/preview/s/i/sistematica1.png,Gothic,Sistematica,Modern
Shrine Of Isis Font Foudry,//dl.dafont.com/dl/?f=darkenstone,https://www.dafont.com/img/preview/d/a/darkenstone0.png,Gothic,Darkenstone,Celtic
Chequered Ink,//dl.dafont.com/dl/?f=north_to_south,https://www.dafont.com/img/preview/n/o/north_to_south0.png,Gothic,North to South,Modern
Ben Dunkle,//dl.dafont.com/dl/?f=sir_guppy,https://www.dafont.com/img/preview/s/i/sir_guppy0.png,Gothic,Sir Guppy,Initials
Peter Olexa,//dl.dafont.com/dl/?f=phoenix3,https://www.dafont.com/img/preview/p/h/phoenix31.png,Gothic,Phoenix,Modern
Woodcutter,//dl.dafont.com/dl/?f=the_barrio_caps,https://www.dafont.com/img/preview/t/h/the_barrio_caps0.png,Gothic,The Barrio Caps,Various
James Greenwood,//dl.dafont.com/dl/?f=nouveau_uncial_caps,https://www.dafont.com/img/preview/n/o/nouveau_uncial_caps0.png,Gothic,Nouveau Uncial Caps,Celtic
Chequered Ink,//dl.dafont.com/dl/?f=hallowed_grad,https://www.dafont.com/img/preview/h/a/hallowed_grad0.png,Gothic,Hallowed Grad,Modern
Chen Yining,//dl.dafont.com/dl/?f=lyric_poetry,https://www.dafont.com/img/preview/l/y/lyric_poetry0.png,Gothic,Lyric Poetry,Medieval
Paweł Burgiel,//dl.dafont.com/dl/?f=ethlinn,https://www.dafont.com/img/preview/e/t/ethlinn0.png,Gothic,Ethlinn,Celtic
Peter Wiegel,//dl.dafont.com/dl/?f=friedolin,https://www.dafont.com/img/preview/f/r/friedolin0.png,Gothic,Friedolin,Medieval
David Webb,//dl.dafont.com/dl/?f=phexometa,https://www.dafont.com/img/preview/p/h/phexometa0.png,Gothic,Phexometa,Various
Jonathan S. Harris,//dl.dafont.com/dl/?f=minimum_loss,https://www.dafont.com/img/preview/m/i/minimum_loss0.png,Gothic,Minimum Loss,Modern
Bonez Designz,//dl.dafont.com/dl/?f=gothic_scribble,https://www.dafont.com/img/preview/g/o/gothic_scribble0.png,Gothic,Gothic Scribble,Various
Chequered Ink,//dl.dafont.com/dl/?f=big_quicksand,https://www.dafont.com/img/preview/b/i/big_quicksand0.png,Gothic,Big Quicksand,Modern
Peter Wiegel,//dl.dafont.com/dl/?f=hentimps_circlet,https://www.dafont.com/img/preview/h/e/hentimps_circlet0.png,Gothic,Hentimps Circlet,Various
