author_country,author_link,author_name
 Russia ,https://www.dafont.com/alexander-kapusta.d4167,Yff - Alexander Kapusta
 Colombia ,https://www.dafont.com/alejandro-sanclemente.d4589,Alejandro Sanclemente
 Colombia ,https://www.dafont.com/alejandro-zapata.d5042,Alejandro Zapata
 Colombia ,https://www.dafont.com/bri-n-st-ven-alborn-z.d6323,Bri'n St´ven  Alborn'z
 Colombia ,https://www.dafont.com/camilo-gutierrez.d5393,Camilo Gutiérrez
 Colombia ,https://www.dafont.com/camilo-marquez.d4704,Camilo Marquez
 Colombia ,https://www.dafont.com/camilo-ruano.d5002,Camilo Ruano
 Colombia ,https://www.dafont.com/carlo-pico.d6192,Carlo Pico
 Colombia ,https://www.dafont.com/carlos-fabian-camargo-guerrero.d1537,Carlos Fabián Camargo Guerrero
 Colombia ,https://www.dafont.com/carolina-mejia.d1267,Carolina Mejia
 Colombia ,https://www.dafont.com/cesar-puertas.d2537,Cesar Puertas
 Colombia ,https://www.dafont.com/cristian-camilo-otalvaro-lopz.d4322,Cristian Camilo Otalvaro Lopez
 Colombia ,https://www.dafont.com/cristian-hernandez.d2383,Cristian Hernández
 Colombia ,https://www.dafont.com/cristian-andres-martinez-soto.d2986,csdesign - Cristian Andrés Martinez Soto
 Colombia ,https://www.dafont.com/darly-ospina.d8240,Darly Ospina Morales
 Colombia ,https://www.dafont.com/david-martinez.d5723,David Martínez
 Colombia ,https://www.dafont.com/diana-delgado.d5041,Diana Delgado
 Colombia ,https://www.dafont.com/diego-olaya.d3775,Diego Olaya
 Colombia ,https://www.dafont.com/daniel-montes-gutierrez.d3703,Dnl Mnts - Daniel  Montes Gutierrez
 Colombia ,https://www.dafont.com/edgar-sarmiento.d5161,Edgar Sarmiento
 Colombia ,https://www.dafont.com/ernesto-ramirez.d2620,Ernesto _kofla - Ernesto Ramirez
 Colombia ,https://www.dafont.com/esteban-munoz.d3247,Erotavlas - Salvatore Van Dyke
 Colombia ,https://www.dafont.com/estefani-palacios.d4153,Estefani Palacios
 Colombia ,https://www.dafont.com/ricardo-arley-patino-pena.d3539,Factor Vector - Ricardo Arley Patiño Peña
 Colombia ,https://www.dafont.com/techfonts-latam.d2772,G3Typefaces - Yun González
 Colombia ,https://www.dafont.com/gustavo-orozco.d3141,GustSika - Gust Sika
 Colombia ,https://www.dafont.com/iagency-1980.d3653,iAgency 1980
 Colombia ,https://www.dafont.com/ink-sg.d6065,Ink Sg
 Colombia ,https://www.dafont.com/ivan-perez.d5420,Ivan Perez
 Colombia ,https://www.dafont.com/joan-pava.d6245,Joan Pava
 Colombia ,https://www.dafont.com/johao-parra.d3113,Johao Parra
 Colombia ,https://www.dafont.com/jose-noe-gonzalez.d8040,José Noé González
 Colombia ,https://www.dafont.com/juan-camilo-ramon.d4606,Juan Camilo Ramon
 Colombia ,https://www.dafont.com/juan-diego-lopez-medina.d1419,Juan Diego López Medina
 Colombia ,https://www.dafont.com/juan-esteban-munoz-bedoya.d2232,Juan Esteban Muñoz Bedoya
 Colombia ,https://www.dafont.com/juan-plata.d1450,Juanplav - Juan Plata
 Colombia ,https://www.dafont.com/camilo-parodi.d2463,kami - Camilo Parodi
 Colombia ,https://www.dafont.com/kevin-rodelo-zapata.d8192,Kevin Rodelo Zapata
 Colombia ,https://www.dafont.com/laura-punk.d3437,Laura Punk
 Colombia ,https://www.dafont.com/laura-vasquez.d5056,Laura vasquez
 Colombia ,https://www.dafont.com/lj-design-studios.d6459,LJ Design Studios - Luis Jaramillo
 Colombia ,https://www.dafont.com/mache-puentes.d3854,Mache Puentes
 Colombia ,https://www.dafont.com/maria-alejandra-patino-fernandez.d5377,María Alejandra  Patiño Fernández
 Colombia ,https://www.dafont.com/maria-alejandra-soto.d5034,Maria Alejandra Soto
 Colombia ,https://www.dafont.com/mauricio-vides-anillo.d7473,Mauricio Vins - Mauricio Vides Anillo
 Colombia ,https://www.dafont.com/nayda-florez.d3540,Nayda Florez
 Colombia ,https://www.dafont.com/nestor-delgado.d4212,Néstor Delgado
 Colombia ,https://www.dafont.com/nicolas-coronado.d2680,Nicolas Coronado
 Colombia ,https://www.dafont.com/nicolas-palacios.d3442,Nicolas Palacios
 Colombia ,https://www.dafont.com/andres-moreno-walter.d4245,NimaVisual - Nima Visual
 Colombia ,https://www.dafont.com/omar-mogollon.d5169,Omar Mogollón-Alagunna
 Colombia ,https://www.dafont.com/rafael-olivo.d7756,Rafael Olivo
 Colombia ,https://www.dafont.com/ricardo-gonzalez.d5429,Ricardo Gonzalez
 Colombia ,https://www.dafont.com/santiago-ortiz.d6075,Santiago Ortiz
 Colombia ,https://www.dafont.com/sebastian-duque-neira.d5404,Sebastian Duque Neira
 Colombia ,https://www.dafont.com/sebastian-mejia.d5364,Sebastian Mejia
 Colombia ,https://www.dafont.com/sebastian-sanchez.d5426,Sebastián Sánchez
 Colombia ,https://www.dafont.com/cristian-rodriguez.d3203,tianrod - Cristian Rodríguez
 Colombia ,https://www.dafont.com/david-fernando-espinosa-martinez.d2975,Type Sailor - David Espinosa
 Colombia ,https://www.dafont.com/william-escobar.d2311,William  Escobar
 Colombia ,https://www.dafont.com/uglymann.d3878,Xato - Santiago Amaya
 Philippines ,https://www.dafont.com/zyra-marie.d5391,사이라 마리
 Philippines ,https://www.dafont.com/aaron-amar.d5805,Aaron Amar
 Philippines ,https://www.dafont.com/aaron-banogon.d4306,Aaron Banogon
 Philippines ,https://www.dafont.com/abby-manuel.d5783,Abby Manuel
 Philippines ,https://www.dafont.com/alex-manlangit.d5115,Alex Manlangit
 Philippines ,https://www.dafont.com/alnel-vincent-alico.d4941,AlnelExtreme - Alnel Vincent Alico
 Philippines ,https://www.dafont.com/angelo-aman.d7676,Angelo Aman
 Philippines ,https://www.dafont.com/apol-sta-maria.d5282,Apol Sta Maria
 Philippines ,https://www.dafont.com/marthy-austria.d8194,Apulakan Siklab - Marthy Austria
 Philippines ,https://www.dafont.com/nadezna-s-handwriting.d6032,Artemis
 Philippines ,https://www.dafont.com/bam-o.d6672,Bam O
 Philippines ,https://www.dafont.com/bem-olaguera.d2496,Bem Olaguera
 Philippines ,https://www.dafont.com/camille-david.d5680,Camille David
 Philippines ,https://www.dafont.com/chloe-de-leon.d4263,Chloe De Leon
 Philippines ,https://www.dafont.com/chris-torregosa.d6341,Chris Torregosa
 Philippines ,https://www.dafont.com/carl-john-gemarino.d5981,CJcreatives
 Philippines ,https://www.dafont.com/cs.d7734,Cs
 Philippines ,https://www.dafont.com/denise-bentulan.d2156,Denise Bentulan
 Philippines ,https://www.dafont.com/dondon-nillo.d4623,dondon nillo - Dondon Nillo
 Philippines ,https://www.dafont.com/dzr29.d4631,DZR29
 Philippines ,https://www.dafont.com/eddy-glyn-lucas.d4953,Eddy Glyn Lucas
 Philippines ,https://www.dafont.com/edgar-tadeo.d2322,Edgar Tadeo
 Philippines ,https://www.dafont.com/eka-beconado.d4945,Eka Becoñado
 Philippines ,https://www.dafont.com/erik-belbis.d3945,Erik Belbis
 Philippines ,https://www.dafont.com/ysh-cabana.d2439,estudio cabana - Ysh Cabaña
